trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.6, 'e': 0.9427546655283462}",20,0,-31.964779736129525,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.6, 'e': 0.9393727128473789}",20,3,-50.69036657786096,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.6, 'e': 0.9358968236779348}",20,0,-103.67708599352952,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
37,False,"{'a': 0.6, 'e': 0.9323273456060345}",20,0,-109.63977964919124,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
38,False,"{'a': 0.6, 'e': 0.9286646355765102}",30,19,-25.2249497931405,"{0: 7, 1: 3, 2: 0, 3: 1, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.9249090598573131}",20,0,-50.92036003516192,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
40,False,"{'a': 0.6, 'e': 0.9210609940028851}",35,0,-220.32324475787897,"{0: 21, 1: 2, 2: 6, 3: 3, 4: 3}",0
41,False,"{'a': 0.6, 'e': 0.9171208228166051}",35,0,-168.1949938279829,"{0: 21, 1: 6, 2: 4, 3: 2, 4: 2}",0
42,False,"{'a': 0.6, 'e': 0.9130889403123083}",20,1,-35.50237926904381,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
43,False,"{'a': 0.6, 'e': 0.9089657496748851}",20,0,-10.31144202178059,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.6, 'e': 0.9047516632199634}",20,0,-115.58200562485081,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.6, 'e': 0.9004471023526769}",20,0,-80.50463533143258,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
46,False,"{'a': 0.6, 'e': 0.8960524975255252}",20,0,-57.130311140122686,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.6, 'e': 0.891568288195329}",20,0,-18.294600635697037,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.6, 'e': 0.8869949227792842}",20,0,-54.20037105988722,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
49,False,"{'a': 0.6, 'e': 0.8823328586101215}",25,0,-136.91412293545955,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
50,False,"{'a': 0.6, 'e': 0.8775825618903728}",25,0,-129.2449682901152,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
51,False,"{'a': 0.6, 'e': 0.8727445076457513}",20,0,-95.95610745266333,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
52,False,"{'a': 0.6, 'e': 0.8678191796776499}",25,5,-27.61811664986599,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",1
